State,Sex,Year,Name,Number,Percent
TIRANE,F,2013,Matea,1,0.01
TIRANE,F,2013,Matilda,1,0.01
TIRANE,F,2013,Matilde,1,0.01
TIRANE,F,2013,Mayla,1,0.01
TIRANE,F,2013,Mbaresa,1,0.01
TIRANE,F,2013,Meada,1,0.01
TIRANE,F,2013,Medina,10,0.06
TIRANE,F,2013,Medine,1,0.01
TIRANE,F,2013,Megan,4,0.02
TIRANE,F,2013,Megi,28,0.16
TIRANE,F,2013,Megisa,1,0.01
TIRANE,F,2013,Mei,7,0.04
TIRANE,F,2013,Meira,1,0.01
TIRANE,F,2013,Mejreme,2,0.01
TIRANE,F,2013,Mejsi,1,0.01
TIRANE,F,2013,Mejvis,1,0.01
TIRANE,F,2013,Melania,2,0.01
TIRANE,F,2013,Melda,1,0.01
TIRANE,F,2013,Meleqe,1,0.01
TIRANE,F,2013,Melina,7,0.04
TIRANE,F,2013,Melinda,1,0.01
TIRANE,F,2013,Melisa,52,0.31
TIRANE,F,2013,Menekshe,1,0.01
TIRANE,F,2013,Mereme,1,0.01
TIRANE,F,2013,Meri,3,0.02
TIRANE,F,2013,Meriana,1,0.01
TIRANE,F,2013,Merisa,1,0.01
TIRANE,F,2013,Merjem,2,0.01
TIRANE,F,2013,Merjeme,1,0.01
TIRANE,F,2013,Merkel,1,0.01
TIRANE,F,2013,Merla,1,0.01
TIRANE,F,2013,Merli,1,0.01
TIRANE,F,2013,Merlin,2,0.01
TIRANE,F,2013,Merlina,1,0.01
TIRANE,F,2013,Merlinda,1,0.01
TIRANE,F,2013,Mersa,1,0.01
TIRANE,F,2013,Mersila,1,0.01
TIRANE,F,2013,Merushe,2,0.01
TIRANE,F,2013,Merviola,1,0.01
TIRANE,F,2013,Meryl,1,0.01
TIRANE,F,2013,Mesila,2,0.01
TIRANE,F,2013,Mevis,1,0.01
TIRANE,F,2013,Mia,23,0.14
TIRANE,F,2013,Michel,2,0.01
TIRANE,F,2013,Migena,4,0.02
TIRANE,F,2013,Mikaela,1,0.01
